datetime,open,high,low,close,volume
2026-07-24T16:37:00.000000,74.63,74.63,74.27,74.38,102.0
2026-07-24T16:38:00.000000,74.38,74.5,74.36,74.48,44.0
2026-07-24T16:39:00.000000,74.48,74.5,74.42,74.49,35.0
2026-07-24T16:40:00.000000,74.49,74.49,74.4,74.49,28.0
2026-07-24T16:41:00.000000,74.5,74.52,74.47,74.52,28.0
2026-07-24T16:42:00.000000,74.52,74.55,74.51,74.51,15.0
2026-07-24T16:43:00.000000,74.51,74.51,74.46,74.47,11.0
2026-07-24T16:44:00.000000,74.47,74.51,74.47,74.5,8.0
2026-07-24T16:45:00.000000,74.5,74.52,74.45,74.51,24.0
2026-07-24T16:46:00.000000,74.51,74.56,74.5,74.55,8.0
2026-07-24T16:47:00.000000,74.55,74.6,74.51,74.6,14.0
2026-07-24T16:48:00.000000,74.6,74.69,74.6,74.67,19.0
2026-07-24T16:49:00.000000,74.67,74.73,74.67,74.68,20.0
2026-07-24T16:50:00.000000,74.68,74.73,74.67,74.71,11.0
2026-07-24T16:51:00.000000,74.71,74.73,74.65,74.65,11.0
2026-07-24T16:52:00.000000,74.65,74.66,74.65,74.65,3.0
2026-07-24T16:53:00.000000,74.65,74.72,74.65,74.72,10.0
2026-07-24T16:54:00.000000,74.72,74.72,74.67,74.67,10.0
2026-07-24T16:55:00.000000,74.67,74.68,74.62,74.65,12.0
2026-07-24T16:56:00.000000,74.65,74.65,74.6,74.61,12.0
2026-07-24T16:57:00.000000,74.61,74.61,74.56,74.58,13.0
2026-07-24T16:58:00.000000,74.58,74.59,74.54,74.54,8.0
2026-07-24T16:59:00.000000,74.54,74.54,74.54,74.54,1.0
2026-07-24T17:00:00.000000,74.54,74.58,74.48,74.49,43.0
2026-07-24T17:01:00.000000,74.5,74.51,74.45,74.48,37.0
2026-07-24T17:02:00.000000,74.48,74.49,74.42,74.42,25.0
2026-07-24T17:03:00.000000,74.42,74.51,74.42,74.48,26.0
2026-07-24T17:04:00.000000,74.48,74.54,74.48,74.54,15.0
2026-07-24T17:05:00.000000,74.54,74.58,74.48,74.51,27.0
2026-07-24T17:06:00.000000,74.51,74.51,74.42,74.45,23.0
2026-07-24T17:07:00.000000,74.45,74.47,74.39,74.47,31.0
2026-07-24T17:08:00.000000,74.47,74.5,74.38,74.39,23.0
2026-07-24T17:09:00.000000,74.38,74.44,74.37,74.41,17.0
2026-07-24T17:10:00.000000,74.41,74.41,74.31,74.37,27.0
2026-07-24T17:11:00.000000,74.38,74.4,74.36,74.37,14.0
2026-07-24T17:12:00.000000,74.37,74.4,74.32,74.38,26.0
2026-07-24T17:13:00.000000,74.38,74.48,74.38,74.44,25.0
2026-07-24T17:14:00.000000,74.44,74.49,74.42,74.49,21.0
2026-07-24T17:15:00.000000,74.49,74.57,74.48,74.55,36.0
2026-07-24T17:16:00.000000,74.55,74.56,74.48,74.52,16.0
2026-07-24T17:17:00.000000,74.52,74.55,74.46,74.48,25.0
2026-07-24T17:18:00.000000,74.48,74.48,74.45,74.45,13.0
2026-07-24T17:19:00.000000,74.45,74.49,74.43,74.44,22.0
2026-07-24T17:20:00.000000,74.44,74.44,74.31,74.36,27.0
